Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
1580000.0,Porto,Porto,"Aldoar, Foz do Douro e Nevogilde",Apartment,C,Ground Floor,True,3.0,True,2006.0,275.0,412.0,,,,,4.0,,,,275.0,,,4.0
265000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,D,4th Floor,True,0.0,False,1997.0,100.0,,,,,,2.0,,,,100.0,,,2.0
275000.0,Faro,Portimão,Alvor,Apartment,C,2nd Floor,False,0.0,False,1985.0,270.0,110.0,,,,,2.0,,,,96.0,,,1.0
260000.0,Faro,Aljezur,Odeceixe,Apartment,C,2nd Floor,False,1.0,True,2007.0,100.0,,,,,,2.0,,,,178.0,,,1.0
20000.0,Faro,Loulé,Quarteira,Apartment,NC,7th Floor,True,0.0,False,1991.0,127.0,,,,,,2.0,,,,113.0,,,3.0
17500.0,Faro,Portimão,Portimão,Garage,NC,,False,0.0,False,1997.0,20.0,,,,,,,,,,,,,0.0
205000.0,Faro,Portimão,Portimão,Apartment,C,8th Floor,True,1.0,True,2002.0,3365.0,64.0,,,,,1.0,,,,49.0,,,1.0
850000.0,Faro,Silves,Armação de Pêra,Land,NC,,False,0.0,False,,4333.0,,,,,,,,,,,,,0.0
120000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Land,NC,,False,0.0,False,,210.0,,,,,,,,,,,,,0.0
120000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Land,NC,,False,0.0,False,,210.0,,,,,,,,,,,,,0.0
232000.0,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,Apartment,E,1st Floor,False,0.0,False,1981.0,120.0,,,,,,4.0,,,,150.0,,,2.0
371500.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,C,5th Floor,True,0.0,False,1972.0,121.0,,,,,,4.0,,,,109.0,,,2.0
255000.0,Faro,Faro,Montenegro,Land,NC,Ground Floor,False,1.0,True,,433.0,,,,,,,,,,,,,4.0
800000.0,Faro,Portimão,Alvor,House,F,,False,1.0,True,2016.0,520.0,274.0,,,,,3.0,,,,145.0,,,2.0
140000.0,Faro,Monchique,Monchique,Land,NC,,False,0.0,False,,89240.0,30.0,,,,,,,,,0.0,,,0.0
360000.0,Faro,Lagos,Luz,Apartment,C,Ground Floor,True,2.0,True,2009.0,1466.0,154.0,,,,,3.0,,,,129.0,,,2.0
3100.0,Faro,Albufeira,Albufeira e Olhos de Água,Other - Residential,NC,,True,1.0,True,1989.0,40.0,40.0,,,,,0.0,,,,,,,1.0
860000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,3rd Floor,True,2.0,True,2021.0,134.0,,,,,,2.0,,,,172.0,,,1.0
170000.0,Faro,Portimão,Portimão,Apartment,E,5th Floor,True,0.0,False,1987.0,88.0,96.0,,,,,2.0,,,,88.0,,,1.0
120000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Land,NC,,False,0.0,False,,210.0,,,,,,,,,,,,,0.0
120000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Land,NC,,False,0.0,False,,210.0,,,,,,,,,,,,,0.0
4295000.0,Faro,Lagos,São Gonçalo de Lagos,House,B,,False,3.0,True,2023.0,1480.0,734.0,,,,,4.0,,,,640.0,,,6.0
